MetaData
Device name,Address,Record name,Start,End,Logging frequency,Ringbuffer frequency
1-01107,EA:5E:A0:E1:13:3F,,24.10.2025 16:14:56,24.10.2025 16:17:17,10.0,-
Sensor-id,0,1,2,3
Description,Ch1,Ch2,Ch3,Ch4
Unit,mA,mA,mA,mA
App version,6.3.0
App hash,appInfoView.commitShaUnknown
Firmware version,6.2.0
Firmware hash,6e2bd86
Phone model,SM-A528B
Phone OS,14




Sensordata
Time in ms,Ch1  in  mA,Ch2  in  mA,Ch3  in  mA,Ch4  in  mA,
36700,0.10277592526927037,7.665785772639538,5.302714996227223,8.073651023196362,
36800,0.12404127164563761,7.666600770719469,5.297903994345688,8.143780351369514,
36900,0.1077628518464735,7.664381965374105,5.299228815013066,8.24447390269006,
37000,0.11420025958796032,7.6692755441536065,5.3007798245748745,8.300658506006585,
37100,0.11131365845903929,7.669692018943351,5.301418897959138,8.404945947538636,
37200,0.12424950904051002,7.670076181033892,5.300467468482566,8.46958211684705,
37300,0.10939284800633686,7.670036687734864,5.30074751187567,8.592808390412756,
37400,0.10672884547193462,7.665979648834764,5.297099767165491,8.712009937777566,
37500,0.11685349122262778,7.667907639887289,5.298708221525885,8.807095440636203,
37600,0.11423616258707625,7.6692575926540485,5.298438949032516,8.921338783823103,
37700,0.10904458891491231,7.66795431378614,5.301813830949413,8.985206628950436,
37800,0.11099053146699589,7.668661602868724,5.3032427703142275,9.045638557062375,
37900,0.11467058887637904,7.668212815379775,5.297631131552407,9.11545911944313,
38000,0.11530248166081947,7.669307856852811,5.30034180798566,9.113412648493522,
38100,0.10473263872108873,7.6677747987905605,5.296288359385471,9.103359808741061,
38200,0.11544968395719479,7.6654877777468755,5.3022123542396,9.110985605753285,
38300,0.11155061825320445,7.666913126811778,5.301573280855337,9.110009044177332,
38400,0.1136150407023706,7.668977549260944,5.299645289802811,9.107829732130995,
38500,0.1095867242015629,7.670349043827173,5.298227121337732,9.088858587398136,
38600,0.10489061191719884,7.669232460554667,5.302632419329257,9.091702104928117,
38700,0.1239371529482014,7.666478700522475,5.298277385536494,9.09094096134686,
38800,0.10696939556601137,7.670370585626642,5.298374323634107,9.096523877709387,
38900,0.11033350658317431,7.669210918755198,5.298241482537378,9.10270278385724,
39000,0.10844141852976463,7.666866452912927,5.2997027346013965,9.099184289943878,
39100,0.10971597499838026,7.669379662851043,5.300449516983008,9.092639173205043,
39200,0.11837218808523176,7.670603955120896,5.298733353625266,9.10750301483904,
39300,0.1081936878358647,7.6639080457857744,5.30058953867956,9.110561950363717,
39400,0.11262411792677085,7.668729818567044,5.300776234274963,9.10601663067564,
39500,0.10715968146132582,7.668184092980482,5.300460287882743,9.116424910119349,
39600,0.10580972869456673,7.666496652022033,5.299354475509972,9.116037157728897,
39700,0.10800340194055025,7.668492858772879,5.300076125792202,9.116482354917935,
